participantId,accountId,currentAccountId,currentPlatformId,matchHistoryUri,platformId,summonerId,summonerName,gameId
8,Z8qS01CUbyi9YylcxYNNWFlktNU6Oel9JOEand6GIWA,Z8qS01CUbyi9YylcxYNNWFlktNU6Oel9JOEand6GIWA,BR1,/v1/stats/player_history/BR1/919946,BR1,vEsZrDlX1altS8fKVxgRt_D7zdFTwzU1sHnwkrJyneti,Hidan TL,1477146052
9,pwt2lvqztH7JJbwCqseeCQlwiSqJt976Lq-bHPMPVHIWi0E,pwt2lvqztH7JJbwCqseeCQlwiSqJt976Lq-bHPMPVHIWi0E,BR1,/v1/stats/player_history/BR1/210903531,BR1,RRGOQDDO8UWBfqnNHakmLeON9uWI-aQjJrhzBJF2pRzj_GM,Nujabes1,1477146052
10,b-gWLXdvAgB5zg2l1RydZX4nEUJSDezFDOYGKpZJZBE,b-gWLXdvAgB5zg2l1RydZX4nEUJSDezFDOYGKpZJZBE,BR1,/v1/stats/player_history/BR1/475122,BR1,80ln00nuYpgfbw0mc7H3VQVCCvDWWiWjkl6DK-lMvhw1,iMills,1477146052
1,VEYhCB9aKTSY8vRjl7zzvTCVzCCTCjU_Oa5GGF5Bezlx,VEYhCB9aKTSY8vRjl7zzvTCVzCCTCjU_Oa5GGF5Bezlx,BR1,/v1/stats/player_history/BR1/1194077,BR1,W_uqhCkGhqQPKpYbumtjpo76dGOLb2dM410GwvoSvD__IA,4LaN,1477172149
2,71LzJSmj-Ymti-_CrgYlR7laclexN3bRSqAz_oR9D0F_ofs,71LzJSmj-Ymti-_CrgYlR7laclexN3bRSqAz_oR9D0F_ofs,BR1,/v1/stats/player_history/BR1/202648015,BR1,PviIdiOKdAZi9lTkKtqJbcGGxFY_tIGtZ3wRbkkkOp2IfQ,Jo0o0oJóT1K0,1477172149
3,ewyH5epx44fd-D2gClrt3rifkM5d_J2sxDo4eVFlCCJu26U,ewyH5epx44fd-D2gClrt3rifkM5d_J2sxDo4eVFlCCJu26U,BR1,/v1/stats/player_history/BR1/215760135,BR1,5Mq02-QhiFmtTf7hR2s2YbuHXI252DDAhIy0w_wjjZ7LC88,THELOOW,1477172149
4,u3bxZcPxiiEk3hHIjCK2VMg9UrxhIomiGTw-nNTp5ntHkA,o3Zh4tlYz3TQGVCP_YujyS0P_N4dST0igBpI85V7lqwmDNE,BR1,/v1/stats/player_history/NA1/44853438,NA1,Olgxj9LsF5CofCWN-n50KzCA5kB9pgTi20CnJaXMoLurzzE,Rookid,1477172149
5,iLpoz43p__hGoY78BmYQEpOpRecJgjVd5vbvihccgE-LaA,3_YNZXon0C27ATtmYfQwZ49kuERId8JOAL9B1jeMmak,BR1,/v1/stats/player_history/NA1/46482955,NA1,q9cy_m3fKz0C1NIClX2vOw2hyKFS86FXLSKPDb-C-bns,Feeeeeeeeeeeed,1477172149
6,Z8qS01CUbyi9YylcxYNNWFlktNU6Oel9JOEand6GIWA,Z8qS01CUbyi9YylcxYNNWFlktNU6Oel9JOEand6GIWA,BR1,/v1/stats/player_history/BR1/919946,BR1,vEsZrDlX1altS8fKVxgRt_D7zdFTwzU1sHnwkrJyneti,Hidan TL,1477172149
7,b-gWLXdvAgB5zg2l1RydZX4nEUJSDezFDOYGKpZJZBE,b-gWLXdvAgB5zg2l1RydZX4nEUJSDezFDOYGKpZJZBE,BR1,/v1/stats/player_history/BR1/475122,BR1,80ln00nuYpgfbw0mc7H3VQVCCvDWWiWjkl6DK-lMvhw1,iMills,1477172149
8,__Jvos7K0uQAOieSBjpqLXsfE7MrBVRgYr0psh1Mv2BVoGo,__Jvos7K0uQAOieSBjpqLXsfE7MrBVRgYr0psh1Mv2BVoGo,BR1,/v1/stats/player_history/BR1/213686737,BR1,hUh0-RKANs5ARMNk6CbxofRmvH2htzvAYGRvNQJoI7h9I-g,Markím MECHANICS,1477172149
9,VTpHAzb-dly1N7H5Txwv7XpyJAENv5rmXEs_Ih5pwWs5mA,H4G44pVEDyR5icmJr2rXM_EZ2A3IlOt3LbTLuDg3emM,BR1,/v1/stats/player_history/NA1/49330519,NA1,DgSsL8Gn7z_M0knJ1shWoj-6IxYF5dWWhU5x4Wf04XOG,VirteX Salsicha,1477172149
10,a7WPXz8lenEUIP9wjIqCvU2vqAqZuH9pumUuuFbSIdWBxKU,a7WPXz8lenEUIP9wjIqCvU2vqAqZuH9pumUuuFbSIdWBxKU,BR1,/v1/stats/player_history/BR1/200728178,BR1,bBNx7i243srTZTQWhyuHCnfQN-09MpSABGZu9ONPNJI5Tw,im cheed,1477172149
1,VEYhCB9aKTSY8vRjl7zzvTCVzCCTCjU_Oa5GGF5Bezlx,VEYhCB9aKTSY8vRjl7zzvTCVzCCTCjU_Oa5GGF5Bezlx,BR1,/v1/stats/player_history/BR1/1194077,BR1,W_uqhCkGhqQPKpYbumtjpo76dGOLb2dM410GwvoSvD__IA,4LaN,1477516494
2,gl001vcdEG5YuJ7r3Z3WKOxoaSHFPPpqLzDQSldBU3db9aU,gl001vcdEG5YuJ7r3Z3WKOxoaSHFPPpqLzDQSldBU3db9aU,BR1,/v1/stats/player_history/BR1/201621393,BR1,HaAEAGC1BjydJ7ov-eoudDM5SW5q5BuHa6hP96xRMA0Xew,Barry1,1477516494
3,C6LLQ-PNcqdxXVMv7gh-YKWooCNYGLe2nZNsZ8g4xr5RY5E,C6LLQ-PNcqdxXVMv7gh-YKWooCNYGLe2nZNsZ8g4xr5RY5E,BR1,/v1/stats/player_history/BR1/202811018,BR1,lMyI1T9v1_-WnInKC0I3lDA1ayHW4BFh3G6smrlR59wxFQ,Odeio o Dia 5,1477516494
4,7JqusUbUJ2BzY3lwAskaf4MCE8NiueXUU0vpIchMsfoTlA,2Rk7F0uoL9ej768fVntcK5SmNXHu8YxrptPGEDZPsu9T,BR1,/v1/stats/player_history/NA/33653550,NA,-5ZPeeFFpdlW-uCrvoIJs-VKjqhM7TQG1_SOx_tvE1_aSw,Shirusen,1477516494
5,vJ1DwqBZHpNMD9vItgAoUF4WEc_hfO-pA1k2aTmFpCyEPt0,vJ1DwqBZHpNMD9vItgAoUF4WEc_hfO-pA1k2aTmFpCyEPt0,BR1,/v1/stats/player_history/BR1/217172783,BR1,ID9TilaSj7UbU_syiXDoxQdfe1lIqhO0DyrWJp-KMzFYYeQ,shyy720,1477516494
6,zWW9PQGZV_J6OvGAlACoIkUG0D0EppMO9-EDwWWhv90,zWW9PQGZV_J6OvGAlACoIkUG0D0EppMO9-EDwWWhv90,BR1,/v1/stats/player_history/BR1/348747,BR1,PxSUHRfFqXb5EaHQ7YnXVEqpVKEMVViTkxt4_KrR-kcp,jeonggeul,1477516494
7,5b4bxvq_8GR16lJRhsgxg2vYWd4HRqwVeF9sND2hPTX63AI,5b4bxvq_8GR16lJRhsgxg2vYWd4HRqwVeF9sND2hPTX63AI,BR1,/v1/stats/player_history/BR1/201486972,BR1,3s19ZY4o_7j9LViJB3SBSoOe56HRftYoOhEqR-aWKjaeAA,jungsun,1477516494
8,8HPkFAh6GxukWy6W8CxGgJORzjfLOBZK7RZ4Xj9C6Iz_O58,8HPkFAh6GxukWy6W8CxGgJORzjfLOBZK7RZ4Xj9C6Iz_O58,BR1,/v1/stats/player_history/BR1/219595242,BR1,HEdzKbH2QRWRMxPqoHatzVWkLYC4ux7fEtT0wS_2SUGuGXM,sushi birthdays,1477516494
9,gN5demTJOkFyBeMoSoXhsGzflaXX8MWCkJ-FgEvs2jsFXHQ,gN5demTJOkFyBeMoSoXhsGzflaXX8MWCkJ-FgEvs2jsFXHQ,BR1,/v1/stats/player_history/BR1/202222721,BR1,t1ZsE-lUYrzuut6gTkpoUDIZ_oZdCeIqWqm-Bd7dy0FQJw,Spl4sh,1477516494
10,vlCHl4zXeGy1Lrdq1YojJMBEmclN-sutTNlfrDlgulI,vlCHl4zXeGy1Lrdq1YojJMBEmclN-sutTNlfrDlgulI,BR1,/v1/stats/player_history/BR1/776916,BR1,gqQCoRc5niiG6RYVlA5W0_ay7MLCJrD-ymRm3-6g7IPR,Cezz,1477516494
1,zWW9PQGZV_J6OvGAlACoIkUG0D0EppMO9-EDwWWhv90,zWW9PQGZV_J6OvGAlACoIkUG0D0EppMO9-EDwWWhv90,BR1,/v1/stats/player_history/BR1/348747,BR1,PxSUHRfFqXb5EaHQ7YnXVEqpVKEMVViTkxt4_KrR-kcp,jeonggeul,1477536824
